"HRRNUM","HRRCITY","Total_Neighbors","HRRNUM_NEIGHBOR"
1,"AL- BIRMINGHAM",12,"373"
1,"AL- BIRMINGHAM",12,"148"
1,"AL- BIRMINGHAM",12,"144"
1,"AL- BIRMINGHAM",12,"146"
1,"AL- BIRMINGHAM",12,"6"
1,"AL- BIRMINGHAM",12,"9"
1,"AL- BIRMINGHAM",12,"7"
1,"AL- BIRMINGHAM",12,"5"
1,"AL- BIRMINGHAM",12,"379"
1,"AL- BIRMINGHAM",12,"262"
1,"AL- BIRMINGHAM",12,"260"
1,"AL- BIRMINGHAM",12,"380"
2,"AL- DOTHAN",6,"146"
2,"AL- DOTHAN",6,"140"
2,"AL- DOTHAN",6,"142"
2,"AL- DOTHAN",6,"134"
2,"AL- DOTHAN",6,"7"
2,"AL- DOTHAN",6,"133"
5,"AL- HUNTSVILLE",3,"373"
5,"AL- HUNTSVILLE",3,"1"
5,"AL- HUNTSVILLE",3,"380"
6,"AL- MOBILE",6,"1"
6,"AL- MOBILE",6,"134"
6,"AL- MOBILE",6,"7"
6,"AL- MOBILE",6,"258"
6,"AL- MOBILE",6,"260"
6,"AL- MOBILE",6,"257"
7,"AL- MONTGOMERY",5,"146"
7,"AL- MONTGOMERY",5,"6"
7,"AL- MONTGOMERY",5,"1"
7,"AL- MONTGOMERY",5,"134"
7,"AL- MONTGOMERY",5,"2"
9,"AL- TUSCALOOSA",3,"1"
9,"AL- TUSCALOOSA",3,"262"
9,"AL- TUSCALOOSA",3,"260"
11,"AZ- MESA",2,"15"
11,"AZ- MESA",2,"12"
12,"AZ- PHOENIX",8,"223"
12,"AZ- PHOENIX",8,"11"
12,"AZ- PHOENIX",8,"15"
12,"AZ- PHOENIX",8,"293"
12,"AZ- PHOENIX",8,"80"
12,"AZ- PHOENIX",8,"14"
12,"AZ- PHOENIX",8,"279"
12,"AZ- PHOENIX",8,"423"
14,"AZ- SUN CITY",1,"12"
15,"AZ- TUCSON",3,"11"
15,"AZ- TUCSON",3,"293"
15,"AZ- TUCSON",3,"12"
16,"AR- FORT SMITH",5,"340"
16,"AR- FORT SMITH",5,"21"
16,"AR- FORT SMITH",5,"19"
16,"AR- FORT SMITH",5,"22"
16,"AR- FORT SMITH",5,"339"
18,"AR- JONESBORO",5,"379"
18,"AR- JONESBORO",5,"270"
18,"AR- JONESBORO",5,"273"
