"HRRNUM","HRRCITY","Total_Neighbors","HRRNUM_NEIGHBOR_1","HRRNUM_NEIGHBOR_2","HRRNUM_NEIGHBOR_3","HRRNUM_NEIGHBOR_4","HRRNUM_NEIGHBOR_5","HRRNUM_NEIGHBOR_6","HRRNUM_NEIGHBOR_7","HRRNUM_NEIGHBOR_8","HRRNUM_NEIGHBOR_9","HRRNUM_NEIGHBOR_10","HRRNUM_NEIGHBOR_11","HRRNUM_NEIGHBOR_12"
1,"AL- BIRMINGHAM",12,"373","148","144","146","6","9","7","5","379","262","260","380"
2,"AL- DOTHAN",6,"146","140","142","134","7","133","","","","","",""
5,"AL- HUNTSVILLE",3,"373","1","380","","","","","","","","",""
6,"AL- MOBILE",6,"1","134","7","258","260","257","","","","","",""
7,"AL- MONTGOMERY",5,"146","6","1","134","2","","","","","","",""
9,"AL- TUSCALOOSA",3,"1","262","260","","","","","","","","",""
10,"AK-Anchorage",0,"","","","","","","","","","","",""
11,"AZ- MESA",2,"15","12","","","","","","","","","",""
12,"AZ- PHOENIX",8,"223","11","15","293","80","14","279","423","","","",""
14,"AZ- SUN CITY",1,"12","","","","","","","","","","",""
15,"AZ- TUCSON",3,"11","293","12","","","","","","","","",""
16,"AR- FORT SMITH",5,"340","21","19","22","339","","","","","","",""
18,"AR- JONESBORO",5,"379","270","273","263","19","","","","","","",""
19,"AR- LITTLE ROCK",8,"379","270","21","18","217","219","22","16","","","",""
21,"AR- SPRINGDALE",5,"270","267","340","19","16","","","","","","",""
22,"AR- TEXARKANA",7,"391","416","399","19","219","339","16","","","","",""
23,"CA- ORANGE CO.",3,"79","80","56","","","","","","","","",""
25,"CA- BAKERSFIELD",4,"79","43","56","83","","","","","","","",""
31,"CA- CHICO",3,"73","77","280","","","","","","","","",""
33,"CA- CONTRA COSTA CO.",5,"65","81","91","62","77","","","","","","",""
43,"CA- FRESNO",6,"25","78","82","83","58","280","","","","","",""
56,"CA- LOS ANGELES",4,"79","25","23","96","","","","","","","",""
58,"CA- MODESTO",5,"43","82","65","91","280","","","","","","",""
62,"CA- NAPA",5,"81","33","89","73","77","","","","","","",""
65,"CA- ALAMEDA CO.",5,"82","58","81","33","91","","","","","","",""
69,"CA- PALM SPR/RANCHO MIR.",3,"79","80","279","","","","","","","","",""
73,"CA- REDDING",3,"343","62","31","","","","","","","","",""
77,"CA- SACRAMENTO",5,"33","91","62","31","280","","","","","","",""
78,"CA- SALINAS",4,"43","82","83","87","","","","","","","",""
79,"CA- SAN BERNARDINO",6,"69","80","279","25","56","23","","","","","",""
80,"CA- SAN DIEGO",5,"12","79","69","279","23","","","","","","",""
81,"CA- SAN FRANCISCO",5,"85","65","33","89","62","","","","","","",""
82,"CA- SAN JOSE",6,"43","78","58","87","85","65","","","","","",""
83,"CA- SAN LUIS OBISPO",4,"43","25","78","86","","","","","","","",""
85,"CA- SAN MATEO CO.",3,"82","87","81","","","","","","","","",""
86,"CA- SANTA BARBARA",2,"83","96","","","","","","","","","",""
87,"CA- SANTA CRUZ",3,"78","82","85","","","","","","","","",""
89,"CA- SANTA ROSA",2,"81","62","","","","","","","","","",""
91,"CA- STOCKTON",4,"58","65","33","77","","","","","","","",""
96,"CA- VENTURA",2,"56","86","","","","","","","","","",""
101,"CO- BOULDER",3,"103","104","106","","","","","","","","",""
102,"CO- COLORADO SPRINGS",6,"103","105","107","293","201","383","","","","","",""
103,"CO- DENVER",10,"102","104","101","106","277","105","201","370","457","423","",""
104,"CO- FORT COLLINS",4,"103","101","106","457","","","","","","","",""
105,"CO- GRAND JUNCTION",4,"102","103","293","423","","","","","","","",""
106,"CO- GREELEY",3,"103","104","101","","","","","","","","",""
107,"CO- PUEBLO",1,"102","","","","","","","","","","",""
109,"CT- BRIDGEPORT",2,"111","308","","","","","","","","","",""
110,"CT- HARTFORD",5,"230","231","295","111","364","","","","","","",""
111,"CT- NEW HAVEN",5,"295","110","308","364","109","","","","","","",""
112,"DE- WILMINGTON",5,"283","355","223","225","356","","","","","","",""
113,"DC- WASHINGTON",8,"445","435","426","352","354","347","223","226","","","",""
115,"FL- BRADENTON",4,"130","141","124","137","","","","","","","",""
116,"FL- CLEARWATER",3,"139","141","122","","","","","","","","",""
118,"FL- FORT LAUDERDALE",3,"130","119","127","","","","","","","","",""
119,"FL- FORT MYERS",3,"130","118","137","","","","","","","","",""
120,"FL- GAINESVILLE",5,"140","123","129","130","131","","","","","","",""
122,"FL- HUDSON",4,"129","116","130","141","","","","","","","",""
123,"FL- JACKSONVILLE",5,"147","140","149","120","131","","","","","","",""
124,"FL- LAKELAND",3,"130","141","115","","","","","","","","",""
127,"FL- MIAMI",1,"118","","","","","","","","","","",""
129,"FL- OCALA",3,"120","130","122","","","","","","","","",""
130,"FL- ORLANDO",10,"120","129","131","141","122","124","115","119","118","137","",""
131,"FL- ORMOND BEACH",3,"120","123","130","","","","","","","","",""
133,"FL- PANAMA CITY",3,"140","134","2","","","","","","","","",""
134,"FL- PENSACOLA",4,"6","2","7","133","","","","","","","",""
137,"FL- SARASOTA",3,"130","115","119","","","","","","","","",""
139,"FL- ST PETERSBURG",1,"116","","","","","","","","","","",""
140,"FL- TALLAHASSEE",6,"147","142","2","120","123","133","","","","","",""
141,"FL- TAMPA",5,"116","130","122","124","115","","","","","","",""
142,"GA- ALBANY",4,"147","146","140","2","","","","","","","",""
144,"GA- ATLANTA",10,"377","373","148","147","309","368","145","366","146","1","",""
145,"GA- AUGUSTA",5,"365","144","147","366","149","","","","","","",""
146,"GA- COLUMBUS",6,"144","147","142","1","2","7","","","","","",""
147,"GA- MACON",7,"144","145","146","140","149","142","123","","","","",""
148,"GA- ROME",3,"373","144","1","","","","","","","","",""
149,"GA- SAVANNAH",4,"365","147","145","123","","","","","","","",""
150,"HI-Honolulu",0,"","","","","","","","","","","",""
151,"ID- BOISE",7,"440","276","152","341","344","423","280","","","","",""
152,"ID- IDAHO FALLS",4,"151","276","274","423","","","","","","","",""
154,"IL- AURORA",5,"164","166","163","171","170","","","","","","",""
